id,h,s,v,hue_values,radio
tr_02,18,88,101,1,33
tr_02,16,81,167,1,33
tr_02,15,79,207,0,32
tr_02,17,84,121,0,33
tr_02,15,75,160,0,33
tr_02,16,81,170,1,34
tr_02,15,77,175,0,33
tr_02,17,79,116,0,33
tr_02,16,81,177,0,34
tr_02,17,75,130,0,33
tr_02,16,87,117,1,33
tr_02,14,73,192,0,34
tr_02,15,92,166,0,33
tr_02,15,81,176,0,34
tr_02,14,75,191,0,34
tr_02,15,92,116,1,32
tr_02,21,66,124,1,35
tr_02,15,91,168,0,33
tr_02,16,72,156,0,34
tr_02,15,72,190,0,34
tr_02,18,91,106,0,33
tr_02,15,89,120,0,33
tr_02,16,74,186,0,34
tr_02,15,70,161,0,34
tr_02,15,90,181,0,33
tr_02,17,90,113,0,33
tr_02,16,80,141,0,34
tr_02,15,80,182,0,34
tr_02,16,78,148,1,34
tr_02,14,71,159,1,34
tr_02,16,103,109,0,32
tr_02,15,92,125,0,32
tr_02,15,75,177,0,34
tr_02,17,96,127,0,33
tr_02,15,86,163,0,32
tr_02,16,75,186,1,34
tr_02,16,90,141,0,32
tr_02,16,79,172,1,33
tr_02,15,76,158,1,32
tr_02,16,79,161,0,34
tr_02,18,99,106,0,34
tr_02,16,87,141,0,34
tr_05,14,86,189,0,37
tr_05,14,82,167,1,37
tr_05,15,113,108,0,36
tr_05,15,86,204,0,37
tr_05,15,119,114,1,35
tr_05,17,101,101,0,36
tr_05,15,86,202,0,37
tr_05,15,116,110,0,36
tr_05,14,93,176,0,36
tr_05,16,100,99,0,36
tr_05,15,89,193,1,37
tr_05,16,88,173,0,38
tr_05,18,100,99,0,37
tr_05,16,119,111,1,35
tr_05,15,91,205,0,36
tr_05,15,89,193,0,36
tr_05,16,124,113,0,34
tr_05,19,95,107,0,37
tr_05,15,88,195,0,37
tr_05,16,90,136,0,37
tr_05,15,118,115,0,34
tr_05,15,85,191,1,37
tr_05,16,86,143,0,37
tr_05,15,91,180,1,37
tr_05,16,88,182,1,37
tr_05,18,109,103,0,38
tr_05,17,82,155,0,37
tr_05,15,101,164,0,35
tr_05,15,97,165,0,36
tr_05,17,109,101,0,37
tr_05,14,91,188,0,36
tr_05,15,91,131,0,36
tr_05,16,107,124,0,36
tr_05,16,94,157,1,37
tr_05,16,87,153,0,36
tr_05,16,108,130,0,36
tr_05,15,92,178,0,37
tr_05,15,109,115,1,35
tr_05,18,108,109,0,36
tr_05,18,102,117,0,37
tr_05,16,85,165,0,36
tr_05,17,96,157,0,37
tr_05,14,85,162,0,36
tr_05,16,106,123,0,36
tr_05,16,93,148,1,37
tr_05,16,101,136,0,37
tr_05,18,111,119,0,36
tr_05,16,97,177,0,35
tr_05,16,94,173,1,35
tr_05,14,89,186,1,37
tr_05,14,95,167,0,36
tr_05,15,82,153,0,37
tr_05,14,98,177,0,35
tr_05,15,90,128,1,36
tr_05,15,91,180,0,37
tr_05,15,102,113,0,36
tr_05,15,89,169,0,37
tr_05,16,84,152,0,37
tr_05,15,103,159,0,36
tr_05,16,103,119,0,36
tr_05,15,110,109,0,34
tr_1,20,40,115,3,34
tr_1,15,50,170,5,34
tr_1,18,41,204,8,34
